"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/384064","HoL Private","2015-06-02","propertyboundariesresolutionofdisputes.html","http://services.parliament.uk/bills/propertyboundariesresolutionofdisputes.html","Property Boundaries (Resolution of Disputes)","2015-2016","Earl of Lytton","Property Boundaries (Resolution of Disputes)"
"http://data.parliament.uk/resources/393623","HoL Private","2015-06-02","arbitrationandmediationservicesequality.html","http://services.parliament.uk/bills/arbitrationandmediationservicesequality.html","Arbitration and Mediation Services (Equality)","2015-2016","Baroness Cox","Arbitration and Mediation Services (Equality)"
"http://data.parliament.uk/resources/393624","HoL Private","2015-06-02","accesstopalliativecare.html","http://services.parliament.uk/bills/accesstopalliativecare.html","Access to Palliative Care","2015-2016","Baroness Finlay of Llandaff","Access to Palliative Care"
"http://data.parliament.uk/resources/384054","HoL Private","2015-05-29","onlinesafety.html","http://services.parliament.uk/bills/onlinesafety.html","Online Safety","2015-2016","Baroness Howe of Idlicote","Online Safety"
"http://data.parliament.uk/resources/384057","HoL Private","2015-05-29","accessiblesportsgrounds.html","http://services.parliament.uk/bills/accessiblesportsgrounds.html","Accessible Sports Grounds","2015-2016","Lord Faulkner of Worcester","Accessible Sports Grounds"
"http://data.parliament.uk/resources/393428","HoL Private","2015-03-30","medicalinnovation.html","http://services.parliament.uk/bills/medicalinnovation.html","Medical Innovation","2014-2015","Lord Saatchi","Medical Innovation"
"http://data.parliament.uk/resources/393428","HoL Private","2015-03-30","medicalinnovation.html","http://services.parliament.uk/bills/medicalinnovation.html","Medical Innovation","2014-2015","Michael Ellis","Medical Innovation"
"http://data.parliament.uk/resources/393459","Ballot","2015-03-30","affordablehomes.html","http://services.parliament.uk/bills/affordablehomes.html","Affordable Homes","2014-2015","Andrew George","Affordable Homes"
"http://data.parliament.uk/resources/393461","Ballot","2015-03-30","europeanunionreferendum.html","http://services.parliament.uk/bills/europeanunionreferendum.html","European Union (Referendum)","2014-2015","Robert Neill","European Union (Referendum)"
"http://data.parliament.uk/resources/393463","Ballot","2015-03-30","offpatentdrugs.html","http://services.parliament.uk/bills/offpatentdrugs.html","Off-patent Drugs","2014-2015","Jonathan Evans","Off-patent Drugs"
"http://data.parliament.uk/resources/393465","Ballot","2015-03-30","lowpaycommissionnationalminimumwage.html","http://services.parliament.uk/bills/lowpaycommissionnationalminimumwage.html","Low Pay Commission (National Minimum Wage)","2014-2015","Dan Jarvis","Low Pay Commission (National Minimum Wage)"
"http://data.parliament.uk/resources/393468","Ballot","2015-03-30","householdsafetycarbonmonoxidedetectors.html","http://services.parliament.uk/bills/householdsafetycarbonmonoxidedetectors.html","Household Safety (Carbon Monoxide Detectors)","2014-2015","Andrew Bingham","Household Safety (Carbon Monoxide Detectors)"
"http://data.parliament.uk/resources/393469","Ballot","2015-03-30","nationalhealthserviceamendeddutiesandpowers.html","http://services.parliament.uk/bills/nationalhealthserviceamendeddutiesandpowers.html","National Health Service (Amended Duties and Powers)","2014-2015","Clive Efford","National Health Service (Amended Duties and Powers)"
"http://data.parliament.uk/resources/393473","Ballot","2015-03-30","controlofoffshorewindturbines.html","http://services.parliament.uk/bills/controlofoffshorewindturbines.html","Control of Offshore Wind Turbines","2014-2015","Mr Christopher Chope","Control of Offshore Wind Turbines"
"http://data.parliament.uk/resources/393475","Ballot","2015-03-30","responsibleparkingscotland.html","http://services.parliament.uk/bills/responsibleparkingscotland.html","Responsible Parking (Scotland)","2014-2015","Mark Lazarowicz","Responsible Parking (Scotland)"
"http://data.parliament.uk/resources/393478","Ballot","2015-03-30","pavementparking.html","http://services.parliament.uk/bills/pavementparking.html","Pavement Parking","2014-2015","Martin Horwood","Pavement Parking"
"http://data.parliament.uk/resources/393480","Presentation","2015-03-30","officeforbudgetresponsibilitypoliticalpartypolicycostings.html","http://services.parliament.uk/bills/officeforbudgetresponsibilitypoliticalpartypolicycostings.html","Office for Budget Responsibility (Political Party Policy Costings)","2014-2015","Thomas Docherty","Office for Budget Responsibility (Political Party Policy Costings)"
"http://data.parliament.uk/resources/393481","Presentation","2015-03-30","armedforcespreventionofdiscrimination.html","http://services.parliament.uk/bills/armedforcespreventionofdiscrimination.html","Armed Forces (Prevention of Discrimination)","2014-2015","Thomas Docherty","Armed Forces (Prevention of Discrimination)"
"http://data.parliament.uk/resources/393482","Presentation","2015-03-30","jobsguaranteeschemeresearch.html","http://services.parliament.uk/bills/jobsguaranteeschemeresearch.html","Jobs Guarantee Scheme (Research)","2014-2015","Thomas Docherty","Jobs Guarantee Scheme (Research)"
